Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000197,2011-02-15,2011-02-15,,Jack Nicholson,Chinatown,1937-04-22
2,nm0000146,2011-02-14,2011-02-14,,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
3,nm0000358,2011-02-15,2011-02-15,,Daniel Day-Lewis,There Will Be Blood,1957-04-29
4,nm0000134,2011-02-15,2011-02-15,,Robert De Niro,Raging Bull,1943-08-17
5,nm0000199,2011-02-15,2011-02-15,,Al Pacino,Serpico,1940-04-25
6,nm0000163,2011-02-15,2011-02-15,,Dustin Hoffman,Tootsie,1937-08-08
7,nm0000158,2011-02-15,2011-02-15,,Tom Hanks,Cast Away,1956-07-09
8,nm0000093,2011-02-15,2011-02-15,,Brad Pitt,Ad Astra,1963-12-18
9,nm0000164,2011-02-15,2011-02-15,,Anthony Hopkins,The Silence of the Lambs,1937-12-31
10,nm0000008,2010-10-10,2010-10-10,,Marlon Brando,Apocalypse Now,1924-04-03
11,nm0000460,2011-02-16,2011-02-16,,Jeremy Irons,Dead Ringers,1948-09-19
12,nm0000243,2010-10-10,2010-10-10,,Denzel Washington,Fences,1954-12-28
13,nm0000432,2010-10-10,2010-10-10,,Gene Hackman,The French Connection,1930-01-30
14,nm0000313,2010-10-10,2010-10-10,,Jeff Bridges,The Big Lebowski,1949-12-04
15,nm0000209,2010-10-10,2010-10-10,,Tim Robbins,Mystic River,1958-10-16
16,nm0000020,2010-10-10,2010-10-10,,Henry Fonda,12 Angry Men,1905-05-16
17,nm0000458,2011-02-15,2011-02-15,,William Hurt,A History of Violence,1950-03-20
18,nm0000126,2011-02-15,2011-02-15,,Kevin Costner,The Postman,1955-01-18
19,nm0000142,2010-10-10,2010-10-10,,Clint Eastwood,Million Dollar Baby,1930-05-31
20,nm0000138,2010-10-10,2010-10-10,,Leonardo DiCaprio,Inception,1974-11-11
21,nm0000154,2011-02-13,2011-02-13,,Mel Gibson,Braveheart,1956-01-03
22,nm0000380,2010-10-11,2010-10-11,,Robert Duvall,The Apostle,1931-01-05
23,nm0000168,2010-10-10,2010-10-10,,Samuel L. Jackson,Pulp Fiction,1948-12-21
24,nm0000169,2010-10-11,2010-10-11,,Tommy Lee Jones,The Fugitive,1946-09-15
25,nm0000228,2010-10-11,2010-10-11,,Kevin Spacey,L.A. Confidential,1959-07-26
26,nm0000115,2011-02-15,2011-02-15,,Nicolas Cage,Face/Off,1964-01-07
27,nm0000177,2011-02-15,2011-02-15,,Kevin Kline,Wild Wild West,1947-10-24
28,nm0000151,2011-02-16,2011-02-16,,Morgan Freeman,Se7en,1937-06-01
29,nm0000323,2010-10-10,2010-10-10,,Michael Caine,The Dark Knight,1933-03-14
30,nm0000128,2010-10-10,2010-10-10,,Russell Crowe,Les Misérables,1964-04-07
31,nm0000246,2010-10-20,2010-10-20,,Bruce Willis,Die Hard,1955-03-19
32,nm0000136,2011-02-13,2011-02-13,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
33,nm0001426,2010-10-10,2010-10-10,,Ben Kingsley,Sexy Beast,1943-12-31
34,nm0000537,2010-10-11,2010-10-11,,Steve McQueen,The Great Escape,1930-03-24
35,nm0000129,2011-02-14,2011-02-14,,Tom Cruise,Top Gun,1962-07-03
36,nm0005132,2010-10-11,2010-10-11,,Heath Ledger,Brokeback Mountain,1979-04-04
37,nm0000450,2010-10-11,2010-10-11,,Philip Seymour Hoffman,The Master,1967-07-23
38,nm0000518,2010-10-10,2010-10-10,,John Malkovich,Being John Malkovich,1953-12-09
39,nm0000288,2010-10-10,2010-10-10,,Christian Bale,The Dark Knight,1974-01-30
40,nm0000377,2011-02-15,2011-02-15,,Richard Dreyfuss,The Goodbye Girl,1947-10-29
41,nm0001673,2011-02-19,2011-02-19,,Jason Robards,All the President's Men,1922-07-26
42,nm0000147,2011-02-16,2011-02-16,,Colin Firth,A Single Man,1960-09-10
43,nm0000123,2011-02-13,2011-02-13,,George Clooney,Michael Clayton,1961-05-06
44,nm0001570,2011-02-16,2011-02-16,,Edward Norton,Motherless Brooklyn,1969-08-18
45,nm0000125,2011-02-16,2011-02-16,,Sean Connery,The Untouchables,1930-08-25
46,nm0598971,2011-02-14,2011-02-14,,Yves Montand,Jean de Florette,1921-10-13
47,nm0000152,2011-02-13,2011-02-13,,Richard Gere,Chicago,1949-08-31
48,nm0000198,2012-04-28,2012-04-28,,Gary Oldman,Tinker Tailor Soldier Spy,1958-03-21
49,nm0000148,2011-02-13,2011-02-13,,Harrison Ford,The Fugitive,1942-07-13
50,nm0000354,2011-02-13,2011-02-13,,Matt Damon,Good Will Hunting,1970-10-08
51,nm0000024,2010-10-10,2010-10-10,,John Gielgud,Arthur,1904-04-14
52,nm0000582,2010-10-10,2010-10-10,,Joe Pesci,Goodfellas,1943-02-09
53,nm0000056,2011-02-15,2011-02-15,,Paul Newman,The Hustler,1925-01-26
54,nm0000437,2010-10-10,2010-10-10,,Woody Harrelson,True Detective,1961-07-23
55,nm0000457,2011-02-15,2011-02-15,,John Hurt,Nineteen Eighty-Four,1940-01-22
56,nm0000576,2011-02-13,2011-02-13,,Sean Penn,Mystic River,1960-08-17
57,nm0000686,2011-02-16,2011-02-16,,Christopher Walken,Hairspray,1943-03-31
58,nm0000620,2010-10-10,2010-10-10,,Mickey Rourke,The Wrestler,1952-09-16
59,nm0000564,2010-10-10,2010-10-10,,Peter O'Toole,Lawrence of Arabia,1932-08-02
60,nm0000140,2010-10-11,2010-10-11,,Michael Douglas,Behind the Candelabra,1944-09-25
61,nm0000353,2011-02-15,2011-02-15,,Willem Dafoe,Spider-Man,1955-07-22
62,nm0000032,2011-10-28,2011-10-28,,Charlton Heston,Ben-Hur,1923-10-04
63,nm0001845,2011-02-15,2011-02-15,,Forest Whitaker,The Last King of Scotland,1961-07-15
64,nm0000336,2011-02-19,2011-02-19,,James Coburn,The Great Escape,1928-08-31
65,nm0000553,2010-10-20,2010-10-20,,Liam Neeson,Kinsey,1952-06-07
66,nm0000226,2011-02-13,2011-02-13,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
67,nm0000245,2011-02-14,2011-02-14,,Robin Williams,Mrs. Doubtfire,1951-07-21
68,nm0000206,2010-10-10,2010-10-10,,Keanu Reeves,The Matrix,1964-09-02
69,nm0000172,2011-02-16,2011-02-16,,Harvey Keitel,Reservoir Dogs,1939-05-13
70,nm0000514,2011-02-16,2011-02-16,,Michael Madsen,The Hateful Eight,1957-09-25
71,nm0000102,2011-02-16,2011-02-16,,Kevin Bacon,Footloose,1958-07-08
72,nm0000438,2010-10-10,2010-10-10,"Ennemy at the Gates, The Hours",Ed Harris,The Truman Show,1950-11-28
73,nm0001128,2011-02-14,2011-02-14,,Alain Delon,Le samouraï,1935-11-08
74,nm0177933,2011-02-14,2011-02-14,,Chris Cooper,Adaptation.,1951-07-09
75,nm0000367,2010-10-10,2010-10-10,,Gérard Depardieu,Cyrano de Bergerac,1948-12-27
76,nm0857620,2011-10-28,2011-10-28,,Justin Theroux,Mulholland Dr.,1971-08-10
77,nm0000560,2011-02-15,2011-02-15,,Nick Nolte,Warrior,1941-02-08
78,nm0000174,2010-10-10,2010-10-10,,Val Kilmer,The Doors,1959-12-31
79,nm0001618,2010-10-10,2010-10-10,,Joaquin Phoenix,Walk the Line,1974-10-28
80,nm0001467,2011-11-29,2011-11-29,,Jared Leto,Dallas Buyers Club,1971-12-26
81,nm0000401,2010-10-10,2010-10-10,,Laurence Fishburne,The Matrix,1961-07-30
82,nm0000104,2011-02-13,2011-02-13,,Antonio Banderas,The Mask of Zorro,1960-08-10
83,nm0000237,2010-10-10,2010-10-10,,John Travolta,Pulp Fiction,1954-02-18
84,nm0000422,2010-10-11,2010-10-11,,John Goodman,10 Cloverfield Lane,1952-06-20
